Date,ClosingPrice,Profit,EarningRate,Qty,BEP
06.15.2021,10395,98635,4.7,211,9946.1
06.16.2021,10325,83815,3.9,216,9946.1
06.17.2021,10340,87230,3.96,221,9946.1
06.18.2021,10570,138060,6.28,221,9946.1
06.21.2021,10500,123490,4.91,251,10008.84
06.22.2021,10535,132275,5.26,251,10008.84
06.23.2021,10705,174945,6.96,251,10008.84
06.24.2021,10675,167415,6.58,254,10016.71
06.25.2021,10660,163585,6.37,256,10021.81
06.28.2021,10685,169985,6.62,256,10021.81
06.29.2021,10770,191745,7.47,256,10021.81
06.30.2021,10815,203265,7.92,256,10021.81
07.01.2021,10860,214785,8.37,256,10021.81
07.02.2021,10855,213520,8.21,259,10031.4
07.05.2021,10955,239420,9.21,259,10031.4
07.06.2021,10930,232345,7.93,289,10126.0
07.07.2021,11075,274250,9.37,289,10126.0
07.08.2021,11145,294480,10.06,289,10126.0
07.09.2021,11120,287655,9.3,304,10174.41
07.12.2021,11180,305895,9.89,304,10174.41
07.13.2021,11210,315015,10.18,304,10174.41
07.14.2021,11240,324135,10.48,304,10174.41
07.15.2021,11210,314985,9.96,310,10194.79
07.16.2021,11100,281285,7.8,350,10297.21
07.19.2021,11070,271110,7.29,360,10317.77
07.20.2021,11080,274810,7.18,370,10338.16
07.21.2021,11180,311810,8.15,370,10338.16
07.22.2021,11235,332160,8.68,370,10338.16
07.23.2021,11355,376560,9.84,370,10338.16
07.26.2021,11480,422810,11.05,370,10338.16
07.27.2021,11435,406160,10.61,370,10338.16
07.28.2021,11365,380310,9.65,380,10365.07
07.29.2021,11320,363180,9.14,383,10372.63
07.30.2021,11240,332690,8.25,388,10383.42
08.02.2021,11395,392830,9.75,388,10383.42
08.03.2021,11330,367580,9.04,391,10390.79
08.04.2021,11350,375415,9.16,394,10398.05
08.05.2021,11355,377415,9.13,397,10405.21
08.06.2021,11400,395280,9.56,397,10405.21
08.09.2021,11335,369475,8.94,397,10405.21
08.10.2021,11440,411160,9.95,397,10405.21
08.11.2021,11450,415150,10.02,398,10407.81
08.12.2021,11465,421120,10.16,398,10407.81
08.13.2021,11610,478830,11.56,398,10407.81
08.17.2021,11705,516640,12.47,398,10407.81
08.18.2021,11550,454860,10.92,400,10413.75
08.19.2021,11435,407870,9.2,423,10471.66
08.20.2021,11590,473435,10.68,423,10471.66
08.23.2021,11700,519965,11.73,423,10471.66
08.24.2021,11775,551690,12.45,423,10471.66
08.25.2021,11810,566495,12.79,423,10471.66
08.26.2021,11810,566540,12.75,424,10474.74
08.27.2021,11800,562300,12.66,424,10474.74
08.30.2021,11855,585620,13.18,424,10474.74
08.31.2021,11960,630140,14.18,424,10474.74
