Date,ClosingPrice,Profit,EarningRate,Qty,BEP
06.15.2021,10480,57500,1.1,500,10366.36
06.16.2021,10440,37470,0.71,503,10366.36
06.17.2021,10450,42500,0.81,503,10366.36
06.18.2021,10525,80225,1.53,503,10366.36
06.21.2021,10380,8840,0.14,603,10366.2
06.22.2021,10525,96275,1.54,603,10366.2
06.23.2021,10635,162605,2.6,603,10366.2
06.24.2021,10610,147530,2.35,605,10367.02
06.25.2021,10590,135415,2.15,607,10367.78
06.28.2021,10645,168800,2.68,607,10367.78
06.29.2021,10640,165765,2.63,607,10367.78
06.30.2021,10635,162730,2.58,607,10367.78
07.01.2021,10725,217369,3.45,607,10367.78
07.02.2021,10785,253780,4.03,607,10367.78
07.05.2021,10810,268955,4.27,607,10367.78
07.06.2021,10810,268955,4.27,607,10367.78
07.07.2021,10865,302340,4.8,607,10367.78
07.08.2021,10930,341795,5.43,607,10367.78
07.09.2021,10925,339150,5.31,615,10374.41
07.12.2021,11010,391425,6.13,615,10374.41
07.13.2021,11035,406800,6.37,615,10374.41
07.14.2021,11025,400640,6.25,617,10376.53
07.15.2021,10975,369720,5.69,625,10384.32
07.16.2021,10935,345170,4.75,695,10439.23
07.19.2021,10890,314345,4.23,710,10448.14
07.20.2021,10825,268170,3.58,715,10450.81
07.21.2021,10965,368270,4.92,715,10450.81
07.22.2021,11035,418320,5.59,715,10450.81
07.23.2021,11095,461220,6.17,715,10450.81
07.26.2021,11160,507695,6.79,715,10450.81
07.27.2021,11160,507695,6.79,715,10450.81
07.28.2021,11180,521970,6.93,720,10455.93
07.29.2021,11105,467940,6.18,723,10458.66
07.30.2021,11085,453480,5.99,723,10458.66
08.02.2021,11190,529395,7.0,723,10458.66
08.03.2021,11110,471510,6.2,726,10461.41
08.04.2021,11120,478770,6.3,726,10461.41
08.05.2021,11085,453270,5.94,729,10464.12
08.06.2021,11115,475140,6.22,729,10464.12
08.09.2021,11130,486075,6.37,729,10464.12
08.10.2021,11190,529815,6.94,729,10464.12
08.11.2021,11280,595425,7.8,729,10464.12
08.12.2021,11355,650100,8.52,729,10464.12
08.13.2021,11465,730290,9.57,729,10464.12
08.17.2021,11565,803190,10.52,729,10464.12
08.18.2021,11445,715640,9.33,732,10468.26
08.19.2021,11320,623380,7.86,755,10495.24
08.20.2021,11410,691330,8.72,755,10495.24
