Date,ClosingPrice,Profit,EarningRate,Qty,BEP
07.19.2021,9090,-3000,-0.32,100,9120.6
07.20.2021,8990,-15500,-1.13,150,9093.99
07.21.2021,9260,25000,1.83,150,9093.99
07.22.2021,9490,59500,4.36,150,9093.99
07.23.2021,9310,32500,2.38,150,9093.99
07.26.2021,9280,27995,2.03,151,9095.26
07.27.2021,9340,37055,2.69,151,9095.26
07.28.2021,9135,6200,0.42,161,9097.23
07.29.2021,9300,32765,2.23,161,9097.23
07.30.2021,9330,37595,2.56,161,9097.23
08.02.2021,9475,60940,4.16,161,9097.23
08.03.2021,9455,57720,3.94,161,9097.23
 08.04.2021,9415,51305,3.39,166,9106.65
08.05.2021,9260,25525,1.59,176,9115.65
08.06.2021,9365,44005,2.74,176,9115.65
08.09.2021,9325,36965,2.3,176,9115.65
08.10.2021,9480,64245,4,176,9115.65
08.11.2021,9595,84485,5.26,176,9115.65
08.12.2021,9560,78485,4.75,181,9127.09
08.13.2021,9500,67670,4.02,184,9132.98
08.17.2021,9305,32690,1.75,204,9145.44
08.18.2021,9080,-14210,-0.61,254,9136.65
08.19.2021,9035,-26090,-1.09,257,9136.05
08.20.2021,8895,-60020,-1.82,362,9061.05
08.23.2021,8985,-27430,-0.83,364,9061.07
08.24.2021,9115,19890,0.6,364,9061.07
