Date,ClosingPrice,Profit,EarningRate,Qty,BEP
07.13.2021,11540,2400,2.12,10,11300
07.14.2021,11530,2300,2.03,10,11300
07.15.2021,11405,950,0.55,15,11341.66
07.16.2021,11270,-1325,-0.45,25,11323.8
07.19.2021,11160,-4125,-1.04,35,11278.42
07.20.2021,11190,-2900,-0.64,40,11278.42
07.21.2021,11360,3900,0.86,40,11278.42
07.22.2021,11495,9300,2.06,40,11278.42
07.23.2021,11585,12900,2.86,40,11278.42
07.26.2021,11540,11085,2.39,41,11270.12
07.27.2021,11430,6575,1.42,41,11270.12
07.28.2021,11270,15,0,46,11270.54
07.29.2021,11385,5305,1.02,46,11270.54
07.30.2021,11365,4385,0.84,46,11270.54
08.02.2021,11595,14965,2.88,46,11270.54
08.03.2021,11545,12665,2.44,46,11279.54
08.04.2021,11555,13550,2.35,51,11290.09
08.05.2021,11660,18905,3.28,51,11290.09
08.06.2021,11770,24515,4.25,51,11290.09
08.09.2021,11700,20945,3.63,51,11290.09
08.10.2021,11695,20690,3.59,51,11290.09
08.11.2021,11735,22730,3.94,51,11290.09
08.12.2021,11790,25535,4.43,51,11290.09
08.13.2021,11910,31655,5.49,51,11290.09
08.17.2021,11815,27110,4.27,56,11331.6
08.18.2021,11615,16010,2.31,61,11353.19
08.19.2021,11550,12045,1.73,61,11353.19
08.20.2021,11620,16315,2.35,61,11353.19
08.23.2021,11765,25160,3.63,61,11353.19
08.24.2021,11945,36140,5.21,61,11353.19
08.25.2021,12030,41325,5.96,61,11353.19
08.26.2021,12020,40715,5.87,61,11353.19
08.27.2021,11980,38300,5.43,62,11363.06
08.30.2021,12040,42040,5.86,63,11373.65
08.31.2021,12105,46135,6.43,63,11373.65
