Date,ClosingPrice,Profit,EarningRate,Qty,BEP
07.26.2021,10545,25,0.04,5,11278.42
07.27.2021,10365,-875,-1.66,5,11278.42
07.28.2021,10260,2200,0.61,35,10197.71
07.29.2021,10625,14975,4.19,35,10197.71
07.30.2021,10850,22850,6.4,35,10197.71
08.02.2021,10990,27750,7.77,35,10197.71
08.03.2021,10790,20510,5.26,38,10250.78
08.04.2021,11085,39435,6.19,61,10439.18
08.05.2021,11025,35775,5.61,61,10439.18
08.06.2021,11215,47365,7.43,61,10439.18
08.09.2021,11150,43400,6.81,61,10439.18
08.10.2021,11000,34250,4.95,66,10481.81
08.11.2021,11400,60650,8.76,66,10481.81
08.12.2021,11485,66260,9.57,66,10481.81
08.13.2021,11480,65930,9.53,66,10481.81
08.17.2021,11885,7260,0.32,206,10850.63
08.18.2021,10705,-29720,-1.21,226,10837.38
08.19.2021,10960,28935,1.15,231,10835.6
08.20.2021,10760,-17250,-0.68,234,10834.57
