Date,ClosingPrice,Profit,EarningRate,Qty,BEP
06.15.2021,13900,800,6.1,1,13100
06.16.2021,12945,-17555,-3.2,41,13218.62
06.17.2021,13250,-3450,-0.5,51,13318.62
06.18.2021,13985,34035,5.01,51,13318.62
06.21.2021,13990,34370,4.86,53,13342.45
06.22.2021,13915,30380,4.21,54,13353.51
06.23.2021,14180,46260,5.74,60,13410
06.24.2021,13930,29710,2.92,75,13534.93
06.25.2021,13995,36685,3.18,85,13564.47
06.28.2021,14210,54960,4.76,85,13564.47
06.29.2021,14390,70260,6.09,85,13564.47
06.30.2021,14545,83435,7.23,85,13564.47
07.01.2021,14595,87685,7.6,85,13564.47
07.02.2021,14300,677,4.96,1,13623
07.05.2021,14600,977,7.17,1,13623
07.06.2021,14590,976,7.09,1,13623
07.07.2021,15560,1937,14.21,1,13623
07.08.2021,16300,2677,19.65,1,13623
07.09.2021,16565,2942,21.59,1,13623
07.12.2021,17280,3657,26.84,1,13623
07.13.2021,17240,3617,26.55,1,13623
07.14.2021,16825,3202,23.5,1,13623
07.15.2021,16640,3017,22.14,1,13623
07.16.2021,16130,2507,18.4,1,13623
07.19.2021,15690,2067,15.17,1,13623
07.20.2021,16075,2452,17.99,1,13623
07.21.2021,16900,3277,24.05,1,13623
07.22.2021,17000,3377,24.78,1,13623
07.23.2021,16850,3227,23.68,1,13623
07.26.2021,16580,2957,21.7,1,13623
07.27.2021,16000,2377,17.44,1,13623
07.28.2021,15635,2012,14.76,1,13623
07.29.2021,16590,2967,21.77,1,13623
07.30.2021,16595,2972,21.81,1,13623
08.02.2021,17260,3637,26.69,1,13623
08.03.2021,16880,3257,23.9,1,13623
08.04.2021,17850,4227,31.02,1,13623
08.05.2021,17840,4217,30.95,1,13623
08.06.2021,18110,4487,32.93,1,13623
08.09.2021,17505,3882,28.49,1,13623
08.10.2021,17170,3547,26.03,1,13623
08.11.2021,17725,4102,30.11,1,13623
08.12.2021,17930,4307,31.61,1,13623
08.13.2021,17895,4272,31.35,1,13623
08.17.2021,16910,3287,24.12,1,13623
08.18.2021,16805,3182,23.35,1,13623
08.19.2021,17520,3897,28.6,1,13623
08.20.2021,17310,3687,27.06,1,13623
08.23.2021,17540,3917,28.75,1,13623
08.24.2021,17790,4167,30.58,1,13623
08.25.2021,17775,4152,30.47,1,13623
