Date,ClosingPrice,Profit,EarningRate,Qty,BEP
06.15.2021,9795,93520,3.85,257,9435.32
06.16.2021,9730,76815,3.13,260,9435.32
06.17.2021,9715,72915,2.97,260,9435.32
06.18.2021,9850,108015,4.4,260,9435.32
06.21.2021,9700,70115,2.64,280,9450.37
06.22.2021,9670,61575,2.22,293,9460.59
06.23.2021,9785,95290,3.42,294,9461.66
06.24.2021,9820,105580,3.79,294,9461.66
06.25.2021,9910,132040,4.74,294,9461.66
06.28.2021,9920,135100,4.48,297,9465.89
06.29.2021,10050,173710,6.17,297,9465.89
06.30.2021,10180,212320,7.55,297,9465.89
07.01.2021,10215,222715,7.92,297,9465.89
07.02.2021,10070,179450,5.33,352,9560.99
07.05.2021,10120,197200,5.68,362,9576.04
07.06.2021,10095,187900,5.26,372,9590.69
07.07.2021,10125,199060,5.28,392,9617.98
07.08.2021,10075,180210,4.42,422,9648.76
07.09.2021,10010,153880,3.6,442,9662.64
07.12.2021,10145,213550,5.0,442,9662.64
07.13.2021,10280,273220,6.39,442,9662.64
07.14.2021,10240,255665,5.91,447,9668.87
07.15.2021,10165,222140,5.08,452,9674.35
07.16.2021,9925,113860,2.43,482,9869.58
07.19.2021,9750,30960,0.62,512,9690.33
07.20.2021,9815,64240,1.29,512,9690.33
07.21.2021,9900,107760,2.17,512,9690.33
07.22.2021,10155,238320,4.8,512,9690.33
07.23.2021,10120,220400,4.44,512,9690.33
07.26.2021,10150,235760,4.75,512,9690.33
07.27.2021,10130,225520,4.54,512,9690.33
07.28.2021,10035,177280,3.5,522,9696.2
07.29.2021,10060,190330,3.76,522,9696.2
07.30.2021,10200,263410,5.2,522,9696.2
08.02.2021,10450,393910,7.78,522,9696.2
08.03.2021,10485,412180,8.14,522,9696.2
08.04.2021,10510,425230,8.4,522,9696.2
08.05.2021,10625,485260,9.58,522,9696.2
08.06.2021,10570,456550,9.02,522,9696.2
08.09.2021,10530,435670,8.6,522,9696.2
08.10.2021,10550,446110,8.81,522,9696.2
08.11.2021,10485,412285,8.09,525,9700.53
08.12.2021,10440,388720,7.54,531,9708.77
08.13.2021,10405,370260,7.11,536,9715.03
08.17.2021,10490,416095,7.91,541,9721.7
08.18.2021,10295,310525,5.87,544,9725.0
08.19.2021,10145,228865,4.3,547,9727.42
08.20.2021,10240,280830,5.27,547,9727.42
